station,year,month,day,mean_airT,max_airT,min_airT,max_groundT,min_groundT,suny_min
BNF,2010,1,1,16.9,28.8,11.1,43.2,11.1,432
BNF,2010,1,2,16.925,27.4,11.6,42.6,11.6,378
BNF,2010,1,3,15.525,27.3,10,42.2,11,444
BNF,2010,1,4,15.025,27.5,9.5,41.3,10.6,408
BNF,2010,1,5,15.4,28.2,9.3,43,10.1,408
BNF,2010,1,6,16.125,28.6,9.3,45.3,10.3,492
BNF,2010,1,7,18.525,30,13.2,46,14.1,450
BNF,2010,1,8,17.225,28.6,11.8,45,12.1,444
BNF,2010,1,9,16.525,28.5,10.5,44,10.6,486
BNF,2010,1,10,16.125,28,9.6,44.6,9.8,450
BNF,2010,1,11,16.3,28.8,9.5,44.7,9.9,450
BNF,2010,1,12,17.975,29,11.3,46.5,11.7,468
BNF,2010,1,13,19.55,27,14.8,42.2,16,174
BNF,2010,1,14,17.325,22.3,15.5,31.6,16,0
BNF,2010,1,15,18.35,27.1,14.6,43.5,15.5,354
BNF,2010,1,16,18.575,26.3,15.2,39.6,15.5,174
BNF,2010,1,17,18.25,27.6,13.2,45.2,13.8,366
BNF,2010,1,18,18.175,27.2,12.5,45,13.1,432
BNF,2010,1,19,18.7,28.2,13.4,45,13.6,366
BNF,2010,1,20,19.175,29.1,13.4,47.3,14.1,426
BNF,2010,1,21,18.8,29.8,12.8,47.4,13,486
BNF,2010,1,22,19.325,29.1,13.3,45.5,14.1,300
BNF,2010,1,23,20.175,29.5,14.8,47.5,15.1,324
BNF,2010,1,24,20.125,30,14.7,48.6,15.1,330
BNF,2010,1,25,18.95,29.8,13.5,45.6,13.1,432
BNF,2010,1,26,16.05,23.3,12.1,37.1,12.6,120
BNF,2010,1,27,18.95,27.5,15.6,35,16.8,372
BNF,2010,1,28,17.925,27.9,14.1,33.7,14.8,294
BNF,2010,1,29,17.35,28.7,12.6,38,13.5,366
BNF,2010,1,30,16.95,29.2,10.3,41.8,11.6,456
BNF,2010,1,31,17.825,29.4,11.7,44.5,12.1,486
BNF,2010,2,1,17.975,29.1,11.2,44,11.6,396
BNF,2010,2,2,18.9,30.6,12.2,46.7,12.1,498
BNF,2010,2,3,18.25,31.5,10.8,47,11.1,492
BNF,2010,2,4,18.425,31.4,10.6,47.1,10.1,360
BNF,2010,2,5,17.425,31.3,8.9,46.1,9.5,444
BNF,2010,2,6,17.95,30.9,9.9,46,10.2,474
BNF,2010,2,7,16.75,30.7,8.2,46,8.6,498
BNF,2010,2,8,16.525,30.6,8.3,44.5,8.5,468
BNF,2010,2,9,17.55,31,9.8,45.2,9.9,456
BNF,2010,2,10,17.95,32,8.4,45.1,8.6,474
BNF,2010,2,11,18.05,32.2,8.3,47.3,8.1,498
BNF,2010,2,12,17.6,32,7.6,49,9.1,546
BNF,2010,2,13,19.8,32.4,11.8,48,13.5,498
BNF,2010,2,14,19.325,32,10.4,49.5,11.1,432
BNF,2010,2,15,19.275,31.9,10.3,50.4,11.2,522
BNF,2010,2,16,19,32.5,9.8,49.8,10.9,510
BNF,2010,2,17,20.525,33,11.3,51,12.2,510
BNF,2010,2,18,20.9,30,16.4,45.6,16.7,0
BNF,2010,2,19,16.625,18.9,14.8,22.3,15.5,0
BNF,2010,2,20,18.075,26.5,14.7,32.3,15.7,264
BNF,2010,2,21,19.7,30.5,14.4,34.5,15.2,372
BNF,2010,2,22,17.375,30.8,8.8,36,9.6,486
BNF,2010,2,23,17.85,30.8,9.8,35.2,10.9,444
BNF,2010,2,24,18.7,31.5,9.9,39.5,10.3,444
BNF,2010,2,25,19.5,32,10.9,44,10.6,474
BNF,2010,2,26,19.675,32.6,9.7,44.4,9.7,504
BNF,2010,2,27,19.35,32.8,10.3,44,10.6,504
BNF,2010,2,28,20.725,32.6,13.2,43.2,13.5,378
BNF,2010,3,1,20.775,33.4,12.2,45.8,12.1,474
BNF,2010,3,2,21.45,33.7,12.2,49.5,12.1,468
BNF,2010,3,3,21.425,34,12.2,49.7,12.8,516
BNF,2010,3,4,20.425,33.5,11.6,53.6,11.3,414
BNF,2010,3,5,21.45,34.5,11.2,50.3,11.1,468
BNF,2010,3,6,21.95,34.5,12,51,11.6,480
BNF,2010,3,7,21.375,35.2,12.1,50.1,12.3,510
BNF,2010,3,8,22.525,34.9,13,52.6,13,504
BNF,2010,3,9,21.575,33.6,12.8,49.2,13.2,402
BNF,2010,3,10,16.75,24.6,14.7,21.5,17,0
BNF,2010,3,11,16.225,21.6,13.7,34.7,15.6,0
BNF,2010,3,12,19.525,31,12.5,46.6,13.2,330
BNF,2010,3,13,22.525,34.5,15.2,49.4,15.3,324
